date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:40	4624/4624	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Oct%202022%2009:20:40%20GMT	https://global.kawasaki.com/robots.txt		(from )
14:50:41	46298/46298	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2009:20:40%20GMT	https://global.kawasaki.com/	C:/My%20Web%20Sites/six/global.kawasaki.com/index.html	(from )
14:50:41	8299/8299	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2009:20:41%20GMT	https://global.kawasaki.com/stylesheet.jsp?id=23	C:/My%20Web%20Sites/six/global.kawasaki.com/stylesheet9c8a.css	(from https://global.kawasaki.com/)
14:50:42	126554/126554	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2009:20:41%20GMT	https://global.kawasaki.com/stylesheet.jsp?id=19	C:/My%20Web%20Sites/six/global.kawasaki.com/stylesheeta9bc.css	(from https://global.kawasaki.com/)
14:50:42	2476/2476	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2009:20:42%20GMT	https://global.kawasaki.com/stylesheet.jsp?id=33	C:/My%20Web%20Sites/six/global.kawasaki.com/stylesheetef73.css	(from https://global.kawasaki.com/)
14:50:43	1856/1856	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2009:20:42%20GMT	https://global.kawasaki.com/common/css/slick_en_top.css	C:/My%20Web%20Sites/six/global.kawasaki.com/common/css/slick_en_top.css	(from https://global.kawasaki.com/)
14:50:45	9911/9911	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2009:20:43%20GMT	https://global.kawasaki.com/common/css/mainvisual.css	C:/My%20Web%20Sites/six/global.kawasaki.com/common/css/mainvisual.css	(from https://global.kawasaki.com/)
14:50:45	1635/1635	---M--	200	added ('OK')	image/x-png	date:Wed,%2026%20Oct%202022%2009:20:45%20GMT	https://global.kawasaki.com/common/img/favicon/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/six/global.kawasaki.com/common/img/favicon/apple-touch-icon-57x57.png	(from https://global.kawasaki.com/)
14:50:45	369259/369259	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e74126a9ed527636f9e46d94c718af7%22	http://nexus.ensighten.com/uw-kawasaki/dev/Bootstrap.js	C:/My%20Web%20Sites/six/nexus.ensighten.com/uw-kawasaki/dev/Bootstrap.js	(from https://global.kawasaki.com/)
14:50:47	1703/1703	---M--	200	added ('OK')	image/x-png	date:Wed,%2026%20Oct%202022%2009:20:45%20GMT	https://global.kawasaki.com/common/img/favicon/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/six/global.kawasaki.com/common/img/favicon/apple-touch-icon-60x60.png	(from https://global.kawasaki.com/)
14:50:49	1995/1995	---M--	200	added ('OK')	image/x-png	date:Wed,%2026%20Oct%202022%2009:20:47%20GMT	https://global.kawasaki.com/common/img/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/six/global.kawasaki.com/common/img/favicon/apple-touch-icon-72x72.png	(from https://global.kawasaki.com/)
